b101,b136,b116,b99,b160,b88,b98,b133,b90,b33,b144,b128,b26,b61,b156,b31,b24,b92,b59,b97,b44,b161,b123,b129,b57,b87,b27,b152,b49,b58,b124,b105,b86,b157,b148,b84,b29,TS
2412.698303,3196.886524,2703.685179,2373.955346,3027.960627,2153.788572,2355.152209,3173.916293,2194.853233,920.634443,3267.208227,3011.987996,689.7143086,1464.629001,3073.830826,884.3095391,643.7048656,2240.828265,1434.919334,2338.333707,1048.827305,2993.239757,2924.90749,3053.708547,1383.100672,2127.529449,755.471991,3031.84299,1098.942702,1418.173976,2964.334027,2475.109475,2101.110115,3068.007843,3073.715109,2036.357875,864.5040013,1.65
2163.818182,2499.25048,2225.910051,2148.419334,1774.997279,2018.685499,2133.198464,2564.859635,2054.128681,1163.617638,2469.836428,2477.744718,932.5745839,1644.162452,1814.634283,1170.897247,885.8015365,2097.71975,1606.372439,2121.75096,1295.068342,1667.895807,2377.850832,2506.414693,1567.795935,2030.611236,1014.316741,1830.118118,1356.378841,1589.396447,2402.328905,2162.103873,2049.911332,1803.052017,2003.855154,2019.110915,1143.28089,10.2
2759.779289,3318.333867,2992.247279,2748.597311,2815.34299,2529.414052,2734.888124,3351.369398,2561.324584,1264.829065,3295.684219,3213.086908,985.5518566,1923.047055,2828.101152,1234.372439,924.5997119,2604.505442,1866.145967,2706.102753,1415.529289,2819.956306,3188.581306,3278.908451,1809.850352,2515.175736,1071.84347,2744.923816,1520.974232,1838.497279,3208.444462,2821.263924,2498.586268,2758.891485,2995.192702,2459.567862,1202.447343,6.825
2682.744738,2899.636018,2748.126602,2685.495806,2242.776547,2569.736984,2678.093369,2923.274411,2580.021681,1503.813262,2858.7047,2915.937015,1235.053489,2176.712296,2260.504352,1492.338819,1139.827979,2608.571768,2145.395157,2664.21016,1683.387561,2228.087039,2864.5254,2947.608324,2094.188796,2561.685393,1335.382814,2226.413673,1786.501029,2128.839215,2880.197183,2705.653584,2550.713879,2218.585061,2470.073429,2583.906473,1487.614179,8.55
2521.175576,2587.303457,2567.848111,2523.488956,1737.167734,2467.741517,2525.176697,2714.085467,2447.526729,1410.296575,2564.057458,2691.730314,1150.50032,2083.46719,1741.661012,1363.886044,1055.539853,2474.808739,2035.042254,2514.098271,1584.116677,1697.477433,2665.816741,2734.685339,1984.946543,2459.90605,1246.601312,1660.572823,1675.946863,2010.46767,2683.423335,2534.482875,2451.353873,1672.598431,2045.738956,2394.804577,1382.902529,8.225
2075.034974,2647.906473,2309.149074,2072.419845,2075.916284,1891.678747,2056.878462,2646.573508,1922.333914,870.8455452,2631.990347,2555.020573,676.0449438,1365.393891,2126.467479,848.1253363,613.1330907,1959.114417,1319.465263,2023.292293,988.2433929,2056.05618,2453.865327,2600.145434,1273.181358,1868.683019,742.795379,2132.929103,1047.307011,1297.360342,2460.247191,2124.596772,1843.695838,2087.592182,2295.021206,1812.773382,842.3487894,2.3
2429.206678,3089.313182,2638.883526,2420.60595,2659.385504,2147.772432,2416.485995,3104.053964,2188.083399,910.4162051,3070.843804,2954.019623,685.3217281,1544.198133,2683.368729,896.3600253,642.4584586,2245.675898,1483.720525,2410.866593,1068.305428,2632.573192,2897.714987,2982.605792,1421.950942,2147.448172,757.9672417,2672.348315,1152.460832,1453.110777,2921.329957,2497.145593,2145.609748,2678.952524,2754.081658,2082.457351,875.2826397,2.175
2197.94382,2732.492958,2397.700902,2196.234689,2222.111094,2031.527773,2193.53347,2814.961386,2046.171704,986.8746637,2790.491375,2702.007913,741.2965659,1508.158253,2177.376484,952.4296566,695.8447539,2093.465263,1443.900617,2177.087514,1123.066308,2211.002532,2576.656749,2748.683178,1385.205887,2019.865169,816.792214,2092.337237,1181.902991,1411.719576,2605.120747,2229.6721,2007.146384,2158.410824,2377.54344,1928.649628,931.6811204,4.625
2661.213965,3108.76549,2776.545425,2662.84077,2496.851204,2477.511236,2671.47496,3124.910594,2501.717175,1362.513162,3021.153933,2991.689085,1105.657785,2022.9,2532.747352,1343.793419,1030.337881,2535.749278,1956.984751,2655.109149,1539.914125,2385.767897,2957.02488,3023.526645,1884.958748,2481.491011,1196.255056,2528.175923,1622.732263,1922.126645,2954.881059,2687.254093,2487.701926,2554.536597,2692.252809,2465.009791,1324.406742,6.45
2961.01899,3066.031176,2893.856939,2965.516854,2184.802026,3045.228675,2967.846969,3137.388194,3007.470802,2007.408134,2982.503402,3087.94746,1763.159677,2737.477924,2241.621301,2012.67938,1662.587435,2987.845545,2641.267131,2944.867701,2163.806298,2109.173762,3000.439943,3156.210635,2545.172496,3036.660389,1858.301472,2233.330907,2353.851242,2588.687134,3021.862795,2906.215382,3022.191486,2199.865643,2535.761038,3022.664979,1997.890647,6.05
