b28,b33,b36,b47,b54,b56,b57,b58,b59,b60,b63,b64,b67,b69,b71,b72,b78,b90,b91,b92,b103,b105,b106,b108,b109,b112,b113,b127,b131,b142,b143,b144,b148,b152,b154,b157,b161,b162,b163,TS
1096.259123,1160.998239,1223.009283,1387.93614,1559.447503,1649.74904,1670.816741,1690.632522,1712.264085,1734.115077,1819.307298,1833.65733,1879.121959,1919.975512,1951.196863,1975.179738,2039.825224,2205.890365,2218.108835,2234.476793,2267.435819,2248.53153,2240.18838,2250.799296,2223.15765,2233.263924,2252.096191,2532.253681,2594.568662,2493.832907,2488.628521,2459.097151,2042.703105,1645.372919,1646.18838,1629.640045,1602.246479,1480.995038,1372.525288,4.525
980.4734926,1057.402437,1097.909321,1264.536952,1401.151765,1484.65944,1521.887957,1556.745846,1578.012818,1597.60595,1667.669251,1689.056813,1739.241652,1771.981801,1833.26175,1847.290711,1985.57699,2138.69932,2142.777022,2176.94746,2349.052856,2363.287387,2360.927995,2334.272511,2316.62684,2369.354645,2401.95474,2699.648046,2851.560057,2764.237221,2765.381389,2741.224561,2438.577623,2166.019307,2179.473651,2190.559266,2222.793796,2203.683652,2189.765469,3.475
923.2054122,987.0307011,1023.827504,1146.642981,1332.379965,1415.25542,1433.182624,1451.523659,1472.160627,1493.208894,1556.222662,1573.516537,1650.690932,1703.708182,1716.303371,1746.379332,1889.541067,2095.084824,2108.078968,2129.261434,2334.491059,2353.109353,2358.611489,2347.985282,2327.58063,2386.451654,2425.645355,2780.011078,2979.916917,2936.384238,2940.510049,2937.205412,2667.067099,2339.014559,2449.049375,2412.223137,2490.405444,2389.989555,2291.948568,3.275
1353.935339,1458.556338,1501.101793,1762.31242,1967.721511,2082.791133,2127.823303,2162.571383,2180.010083,2197.398688,2302.384923,2330.944782,2392.342029,2432.007042,2471.356914,2472.993438,2598.704225,2726.601312,2754.991357,2801.904449,2847.542734,2875.551056,2863.394206,2800.164373,2748.935659,2819.262324,2854.770166,3103.091709,3263.8742,3048.914693,3044.144686,3032.734955,2656.74936,2315.828585,2452.65589,2325.146287,2421.319942,2320.725512,2273.244878,11.2
1032.78715,1110.659915,1155.305428,1282.996835,1455.827821,1578.324735,1625.788732,1665.316031,1665.464156,1667.125495,1716.859946,1728.833201,1810.473651,1867.866909,1883.934325,1906.445007,2054.750119,2213.473018,2213.771483,2254.143377,2401.667985,2445.983067,2442.350214,2399.590916,2370.628897,2464.51448,2524.153347,2776.383288,3027.160468,2941.830511,2912.018516,2875.566387,2464.494857,2094.572242,2271.81611,2281.443425,2345.322361,2204.412724,2078.234847,1.625
929.3708387,1009.888764,1021.769206,1147.798656,1308.979513,1409.664853,1437.691101,1464.430218,1486.616037,1507.691261,1575.09283,1605.360755,1681.785691,1719.163572,1760.916133,1771.568022,1917.007522,2134.147567,2150.268246,2177.054417,2363.982714,2362.182298,2363.8137,2370.020487,2339.778969,2389.295615,2418.693022,2803.56194,2941.101152,2870.34507,2866.167093,2862.755602,2558.211428,2289.252081,2373.671895,2312.816421,2329.956786,2289.808259,2260.307778,2.25
1846.415584,1970.92013,2089.124675,2266.293994,2445.534416,2548.923539,2605.212662,2661.041071,2688.086851,2711.132468,2814.297727,2824.381331,2865.623052,2904.044968,2889.987175,2948.676299,3032.166071,3094.743669,3099.330195,3098.031981,3136.890584,3118.081818,3100.946429,3042.718344,2998.586039,3009.770292,3036.896753,3200.043669,3369.320617,3169.254058,3144.939773,3069.710714,2600.256981,2319.476786,2329.562662,2306.391396,2174.693344,2080.971266,1992.778571,6.45
1042.314501,1131.713348,1171.011684,1374.653009,1550.346031,1653.128361,1691.382202,1730.68806,1758.074104,1785.654449,1846.06258,1879.600832,1967.102113,2000.901889,2021.56226,2041.041773,2177.341709,2385.15669,2411.483515,2437.079385,2597.691421,2621.450224,2622.930218,2591.272407,2575.545455,2625.370839,2658.112836,3009.832746,3093.067542,3047.261364,3052.972471,3075.047535,2736.783451,2614.326344,2624.668534,2597.430698,2486.308579,2399.996799,2321.099712,2.125
2261.809059,2270.557458,2335.630602,2577.372919,2779.048015,2893.935819,2942.87372,2991.462068,3004.784091,3017.524648,3107.473912,3103.244078,3122.181178,3175.277689,3241.31258,3260.421735,3253.994558,3308.885563,3319.212708,3334.724872,3296.810339,3339.073944,3326.464149,3260.955186,3238.107875,3261.816741,3281.840269,3404.505922,3475.649328,3263.642606,3242.358195,3220.934379,2798.415653,2446.772407,2611.547375,2632.537292,2496.59443,2443.325384,2400.483195,7.575
1040.38474,1126.091558,1171.925325,1349.550812,1498.709253,1615.309091,1655.339448,1694.326136,1708.833766,1722.002435,1808.823701,1830.637987,1877.545617,1904.085065,1945.934416,1969.641883,2115.775325,2342.864935,2343.514123,2377.821916,2574.527597,2587.668669,2590.186688,2563.123052,2530.025812,2570.269318,2609.026461,2926.39026,3126.124513,3058.259091,3036.261364,2998.010065,2617.862825,2296.581006,2395.794805,2384.438149,2460.013312,2340.930682,2220.751461,3.0
913.0857875,978.2525608,1006.533771,1137.837388,1292.453585,1394.473752,1429.048496,1461.018406,1476.383643,1490.752721,1556.925576,1579.212868,1638.1863,1681.28233,1745.306978,1759.96783,1898.671895,2123.03105,2130.855154,2168.510883,2369.93758,2397.998239,2394.463028,2378.24952,2368.296255,2446.264885,2485.453905,2871.746799,3067.113796,3050.754641,3051.790333,3026.90749,2779.379161,2446.497439,2556.333387,2519.102913,2630.899968,2569.585147,2519.358035,4.825
846.4483304,909.5833201,952.5557841,1101.098275,1266.913594,1368.74996,1382.308277,1396.290078,1422.141795,1449.845229,1546.060136,1569.291977,1642.197658,1699.622883,1744.548663,1769.677481,1861.562906,2156.407976,2180.045102,2221.627947,2415.022788,2405.842064,2405.571451,2433.9348,2418.220446,2454.241969,2482.277101,2899.80978,3001.379332,2994.369837,3005.991613,2993.073904,2655.798544,2461.030068,2459.739516,2496.842697,2557.254945,2490.451654,2428.413831,4.35
964.5253996,1035.210476,1049.770375,1213.522235,1362.63048,1467.938281,1503.25906,1538.752492,1570.873081,1602.391676,1632.948093,1654.745213,1733.329324,1788.545656,1836.408134,1849.482355,2016.708182,2244.319196,2241.146542,2276.95379,2497.391676,2483.747745,2479.925305,2454.923564,2432.75455,2520.61054,2570.336287,2918.314607,3155.713088,3109.344833,3055.080551,2998.757557,2641.433296,2233.287545,2407.989714,2378.01725,2445.198133,2365.610698,2296.256686,2.15
1399.981801,1489.107612,1515.009337,1742.707865,1915.821332,2019.150657,2050.354961,2082.885108,2118.273303,2153.155879,2208.099066,2238.24545,2319.675423,2360.290552,2393.359551,2415.893654,2523.977528,2713.240703,2725.697737,2752.488368,2859.094002,2887.188479,2873.99636,2823.502611,2793.962494,2822.562906,2842.614812,3163.605317,3295.461782,3149.24007,3147.089413,3144.558949,2795.92752,2447.335813,2602.842697,2640.958854,2519.689983,2405.870549,2341.686976,8.125
813.1552497,849.831306,881.7778489,989.6426056,1149.960147,1251.658131,1266.572663,1281.707586,1300.237996,1317.508643,1402.349232,1416.706466,1468.726152,1520.043534,1575.78201,1594.471031,1739.912132,1964.691741,1976.458547,2003.323784,2165.085627,2201.074904,2211.713988,2215.809379,2199.107394,2252.638444,2287.524968,2655.485755,2795.288412,2783.449584,2787.428297,2786.065941,2492.872599,2273.491997,2320.518086,2376.661812,2350.620038,2245.798496,2152.354513,1.475
1671.875,1737.915173,1798.773528,2020.725832,2230.404129,2348.852913,2397.579225,2443.201825,2475.53089,2508.74936,2547.511364,2585.214629,2636.034251,2637.986556,2667.828585,2699.961908,2783.240237,2835.858035,2843.986076,2849.572343,2943.477113,2923.634763,2898.119398,2815.089629,2768.190941,2809.178777,2845.613956,2986.085147,3156.690141,2883.026248,2875.523367,2866.451184,2426.886364,1995.971191,2131.022087,1978.331786,2049.4992,1943.943982,1850.994878,8.375
857.1579706,940.2824904,987.8145006,1118.944142,1273.068182,1386.965589,1429.590429,1464.71719,1470.106434,1475.028649,1533.40701,1555.150448,1645.136684,1700.236556,1732.911972,1769.677337,1929.512004,2153.011844,2174.067222,2203.048816,2381.151889,2466.254481,2445.289853,2388.830666,2379.431018,2489.525128,2545.021127,2874.691581,3120.098111,3095.180058,3070.915973,3043.764565,2699.537772,2351.990717,2545.409731,2517.283131,2614.820102,2545.370839,2487.637484,1.325
