b15,b17,b19,b22,b24,b26,b27,b35,b48,b49,b53,b55,b56,b58,b59,b60,b61,b64,b66,b68,b74,b75,b80,b81,b84,b88,b90,b91,b96,b102,b103,b107,b109,b111,b112,b116,b125,b131,b132,b137,b138,b142,b144,b146,b152,b155,b156,b158,b160,b161,b163,TS
584.3810819,620.0830666,650.159411,697.9129321,739.3273047,795.4467029,879.2768886,1078.378041,1289.329065,1309.940141,1361.957426,1515.640845,1568.648528,1644.409891,1663.356274,1680.854193,1698.314661,1805.738636,1850.423656,1934.414533,2058.81226,2076.224872,2230.402849,2254.815301,2378.360755,2406.970711,2480.995839,2521.865557,2667.753681,2738.284411,2750.132362,2795.872759,2786.12644,2813.419974,2851.963348,2920.59283,3210.954065,3464.883163,3439.732074,3395.671415,3344.271927,3406.113796,3386.838828,3284.109955,2821.197023,3048.004161,2938.035051,2724.488316,2905.548015,2954.93774,2768.862836,4.125
897.1956006,952.4644722,988.2625415,1062.378857,1139.827979,1235.053489,1335.382814,1528.551511,1767.126919,1786.501029,1899.288337,2015.815952,2057.996044,2128.839215,2145.395157,2161.5417,2176.712296,2265.805349,2297.075487,2336.248615,2420.184365,2437.071372,2541.645197,2571.232473,2583.906473,2569.736984,2580.021681,2587.311758,2648.701219,2687.830353,2693.94113,2690.756449,2620.915809,2613.889698,2650.547397,2748.126602,2890.388986,3020.322045,2968.921823,2805.38677,2734.554202,2886.727963,2858.7047,2729.838266,2226.413673,2302.037031,2260.504352,2181.210635,2242.776547,2228.087039,2043.30796,8.55
543.1737617,578.5739832,603.4560848,650.2174395,690.984966,749.5717677,821.1943345,976.9759456,1109.872923,1122.836525,1188.143377,1316.473493,1354.492166,1398.732394,1414.623675,1431.381864,1446.323627,1523.018199,1553.945245,1586.037981,1708.558949,1730.674474,1844.217439,1866.991296,1941.903466,1978.936541,1998.963127,2010.697579,2112.972464,2192.93116,2204.685235,2232.0978,2205.508783,2227.34515,2271.964077,2405.799177,2617.269505,2832.862003,2798.266814,2747.596297,2691.379174,2790.136097,2791.403228,2703.372844,2245.592024,2383.436303,2366.238329,2334.479348,2389.688875,2378.809305,2205.579839,3.9
529.6040333,546.1680538,573.1394046,635.9611076,665.1171575,717.2802497,789.7599232,929.365717,1080.722151,1099.822023,1144.908451,1250.128041,1290.394046,1362.081626,1381.783771,1401.019686,1420.408771,1462.391485,1499.314501,1553.660851,1645.338188,1670.297695,1768.93662,1784.06322,1855.68662,1929.082266,1927.212228,1927.709987,2060.53137,2128.384443,2150.471351,2125.895327,2095.269846,2122.984155,2159.632042,2312.756242,2532.087868,2725.492478,2688.118918,2596.025448,2573.977593,2724.09235,2671.350032,2519.611396,2014.871959,2046.298656,2042.28041,2038.210467,2130.335147,2082.014085,1880.612356,1.45
683.4015685,722.7197503,761.8175416,815.796895,844.0704225,918.3237836,1006.941261,1207.609955,1368.528169,1395.31258,1470.888604,1586.523528,1617.683579,1673.613476,1694.431018,1714.838828,1731.045615,1794.954545,1842.345871,1870.404609,2018.833227,2039.815941,2137.108035,2158.93646,2240.158451,2264.792093,2283.683899,2291.016485,2334.850832,2404.252401,2422.622439,2444.478073,2395.444782,2414.809859,2449.886204,2543.921575,2729.889405,2952.756402,2928.990237,2766.646287,2769.048335,2861.420935,2841.822023,2625.602753,2007.412292,2245.018726,2224.973271,2209.833227,2339.451985,2275.927497,2135.494718,4.225
595.1733355,638.1967029,687.4459027,715.9265365,743.7314341,802.6054738,883.024968,1088.350832,1244.482234,1263.801857,1301.840429,1432.640365,1479.681658,1549.099872,1571.868598,1593.068022,1615.350192,1674.689181,1727.201665,1771.566261,1931.31258,1955.897407,2002.666453,2024.452785,2109.041133,2224.154449,2234.197983,2237.665973,2317.211268,2389.856914,2415.275768,2432.954545,2400.222791,2419.18694,2455.553617,2612.236876,2828.483035,3082.633643,3024.4387,2877.771447,2834.417574,3015.402049,2964.06386,2834.431978,2386.674936,2447.960147,2433.482554,2401.71991,2443.533611,2450.674456,2385.793374,3.325
517.0110777,554.3739516,588.7968033,627.5610065,656.80978,703.9006172,774.0436778,950.6469378,1130.093053,1137.051432,1209.377433,1347.152398,1381.381073,1418.174395,1446.081025,1473.691565,1502.337395,1565.482038,1617.244342,1646.279633,1771.866276,1775.523026,1866.397056,1883.509891,1999.43029,2057.126128,2105.739199,2133.595664,2261.253205,2327.692515,2338.848552,2364.319671,2331.011869,2354.006488,2397.400538,2485.44833,2799.969457,2931.377433,2944.069473,2882.413198,2861.595664,2979.828454,3011.646147,2950.391676,2552.899509,2617.463681,2614.22551,2598.212692,2548.553885,2493.297041,2327.454344,1.65
1377.150498,1406.90125,1432.88131,1527.204621,1606.439627,1709.604843,1812.028486,2016.20921,2266.896344,2294.236113,2346.363349,2508.837,2560.428391,2633.120905,2650.104289,2665.632379,2681.288495,2768.94113,2815.616395,2872.759772,2949.7047,2954.147333,3057.622409,3093.306852,3095.533945,3071.1649,3101.356702,3118.469695,3149.45925,3186.210635,3178.90125,3194.246241,3131.379016,3125.855357,3154.711663,3188.370945,3360.841905,3451.290394,3458.511157,3355.605792,3305.834309,3324.957746,3319.581421,3218.991454,2794.278683,2882.24909,2848.012344,2772.285963,2771.62589,2749.321412,2637.175977,8.275
511.3516325,549.9361396,584.1610115,618.743758,643.7048656,689.7143086,755.471991,947.8111396,1083.355474,1098.942702,1169.31338,1299.995359,1347.96991,1418.173976,1434.919334,1450.246639,1464.629001,1550.071223,1590.871799,1645.694462,1812.475832,1829.229994,1920.141005,1940.264405,2036.357875,2153.788572,2194.853233,2216.310179,2321.133003,2435.004321,2457.84267,2484.586748,2469.071703,2490.616997,2536.109475,2703.685179,2951.310819,3163.354033,3168.759763,3152.637164,3115.763924,3284.028809,3267.208227,3194.004962,3031.84299,3074.361716,3073.830826,3060.238956,3027.960627,2993.239757,2825.555378,1.65
731.7080666,787.2634443,835.4039693,875.7367157,924.5997119,985.5518566,1071.84347,1310.462548,1497.772247,1520.974232,1584.34251,1736.391005,1780.2492,1838.497279,1866.145967,1893.795935,1923.047055,2016.507202,2062.885083,2099.800096,2258.427977,2272.166453,2356.663732,2368.931338,2459.567862,2529.414052,2561.324584,2578.684699,2675.24984,2778.176697,2798.367638,2803.107234,2755.102593,2780.721031,2832.041293,2992.247279,3194.136044,3450.987196,3394.421575,3260.50112,3224.237036,3330.169334,3295.684219,3179.911492,2744.923816,2900.826504,2828.101152,2698.240557,2815.34299,2819.956306,2690.238636,6.825
