b14,b15,b27,b29,b31,b33,b34,b35,b37,b48,b49,b51,b52,b53,b56,b58,b59,b60,b61,b64,b65,b73,b75,b76,b80,b81,b82,b84,b88,b90,b91,b95,b102,b103,b110,b111,b113,b116,b120,b121,b133,b138,b145,b146,b152,b155,b158,b160,b163,TS
505.8086039,525.9413961,819.4280844,925.2663961,937.5288961,968.8660714,978.6368506,987.0150974,1015.96039,1185.213636,1204.061688,1228.418669,1233.633604,1262.683766,1439.377922,1513.172565,1535.610227,1558.014773,1579.475487,1654.75,1674.88263,1848.368506,1910.335877,1939.745455,2034.776786,2056.128571,2077.353734,2130.295942,2222.671916,2248.627435,2261.245617,2390.289935,2497.710065,2519.665747,2441.698864,2491.859091,2592.483117,2698.640097,2819.893994,2848.758604,3110.620942,2955.1,3036.17013,2921.799188,2357.564286,2681.340422,2570.839448,2646.769805,2383.587175,4.65
563.5680218,584.3810819,879.2768886,1014.15749,1031.521607,1039.393246,1056.417254,1078.378041,1114.371639,1289.329065,1309.940141,1344.670935,1346.201024,1361.957426,1568.648528,1644.409891,1663.356274,1680.854193,1698.314661,1805.738636,1823.609795,2041.175256,2076.224872,2095.022887,2230.402849,2254.815301,2300.638764,2378.360755,2406.970711,2480.995839,2521.865557,2651.714629,2738.284411,2750.132362,2782.403649,2813.419974,2890.085948,2920.59283,3085.839949,3099.772567,3418.927497,3344.271927,3370.689981,3284.109955,2821.197023,3048.004161,2724.488316,2905.548015,2768.862836,4.125
853.0788099,897.1956006,1335.382814,1487.614179,1492.338819,1503.813262,1514.692198,1528.551511,1557.98006,1767.126919,1786.501029,1830.845229,1859.073746,1899.288337,2057.996044,2128.839215,2145.395157,2161.5417,2176.712296,2265.805349,2281.185789,2405.507201,2437.071372,2452.546764,2541.645197,2571.232473,2581.852034,2583.906473,2569.736984,2580.021681,2587.311758,2646.112834,2687.830353,2693.94113,2590.231207,2613.889698,2684.487735,2748.126602,2820.068998,2834.66482,2923.274411,2734.554202,2820.285013,2729.838266,2226.413673,2302.037031,2181.210635,2242.776547,2043.30796,8.55
513.2910271,543.1737617,821.1943345,933.7776547,947.7050166,949.3082766,960.5921823,976.9759456,1003.287071,1109.872923,1122.836525,1150.816268,1162.898402,1188.143377,1354.492166,1398.732394,1414.623675,1431.381864,1446.323627,1523.018199,1538.708656,1687.802184,1730.674474,1752.075803,1844.217439,1866.991296,1895.718152,1941.903466,1978.936541,1998.963127,2010.697579,2105.945245,2192.93116,2204.685235,2194.119639,2227.34515,2314.948726,2405.799177,2505.565912,2528.203513,2769.380756,2691.379174,2768.589967,2703.372844,2245.592024,2383.436303,2334.479348,2389.688875,2205.579839,3.9
521.584347,529.6040333,789.7599232,900.5462548,922.5171255,932.3660371,932.0944302,929.365717,955.7765685,1080.722151,1099.822023,1124.596191,1124.615717,1144.908451,1290.394046,1362.081626,1381.783771,1401.019686,1420.408771,1462.391485,1478.542734,1620.432618,1670.297695,1696.887644,1768.93662,1784.06322,1808.931978,1855.68662,1929.082266,1927.212228,1927.709987,2047.753521,2128.384443,2150.471351,2085.455826,2122.984155,2195.697823,2312.756242,2423.927177,2451.175256,2663.974072,2573.977593,2635.059859,2519.611396,2014.871959,2046.298656,2038.210467,2130.335147,1880.612356,1.45
657.7983355,683.4015685,1006.941261,1135.584187,1159.84235,1173.447343,1190.060179,1207.609955,1221.914693,1368.528169,1395.31258,1431.71831,1438.964949,1470.888604,1617.683579,1673.613476,1694.431018,1714.838828,1731.045615,1794.954545,1825.412772,1997.403329,2039.815941,2054.348912,2137.108035,2158.93646,2181.025448,2240.158451,2264.792093,2283.683899,2291.016485,2314.731754,2404.252401,2422.622439,2383.733195,2414.809859,2486.056818,2543.921575,2626.363316,2649.665653,2916.205986,2769.048335,2787.40717,2625.602753,2007.412292,2245.018726,2209.833227,2339.451985,2135.494718,4.225
579.1523688,595.1733355,883.024968,1005.927817,1011.375,1063.266005,1079.977913,1088.350832,1101.135883,1244.482234,1263.801857,1271.339789,1279.279129,1301.840429,1479.681658,1549.099872,1571.868598,1593.068022,1615.350192,1674.689181,1700.864597,1904.860275,1955.897407,1981.4371,2002.666453,2024.452785,2055.298496,2109.041133,2224.154449,2234.197983,2237.665973,2305.309699,2389.856914,2415.275768,2395.21943,2419.18694,2489.130762,2612.236876,2721.238316,2760.067862,2978.368278,2834.417574,2906.284251,2834.431978,2386.674936,2447.960147,2401.71991,2443.533611,2385.793374,3.325
499.3438835,517.0110777,774.0436778,884.2285172,906.7406235,920.0427283,932.7314448,950.6469378,981.2796329,1130.093053,1137.051432,1150.79348,1172.20921,1209.377433,1381.381073,1418.174395,1446.081025,1473.691565,1502.337395,1565.482038,1594.172654,1767.100332,1775.523026,1783.613072,1866.397056,1883.509891,1926.221871,1999.43029,2057.126128,2105.739199,2133.595664,2242.354961,2327.692515,2338.848552,2318.405919,2354.006488,2439.294034,2485.44833,2676.625574,2703.584428,2958.013768,2861.595664,3018.592024,2950.391676,2552.899509,2617.463681,2598.212692,2548.553885,2327.454344,1.65
1355.831777,1377.150498,1812.028486,1961.193069,1952.37316,1982.751701,1998.993195,2016.20921,2054.761038,2266.896344,2294.236113,2335.427599,2329.692198,2346.363349,2560.428391,2633.120905,2650.104289,2665.632379,2681.288495,2768.94113,2791.50087,2944.876246,2954.147333,2959.53442,3057.622409,3093.306852,3102.863586,3095.533945,3071.1649,3101.356702,3118.469695,3162.209369,3186.210635,3178.90125,3107.631904,3125.855357,3182.155404,3188.370945,3291.212375,3289.068365,3470.618611,3305.834309,3310.316981,3218.991454,2794.278683,2882.24909,2772.285963,2771.62589,2637.175977,8.275
488.8085787,511.3516325,755.471991,864.5040013,884.3095391,920.634443,935.4958387,947.8111396,969.0398528,1083.355474,1098.942702,1136.330346,1149.238796,1169.31338,1347.96991,1418.173976,1434.919334,1450.246639,1464.629001,1550.071223,1569.709827,1792.134283,1829.229994,1846.78233,1920.141005,1940.264405,1971.552497,2036.357875,2153.788572,2194.853233,2216.310179,2305.143406,2435.004321,2457.84267,2460.111876,2490.616997,2580.615717,2703.685179,2825.116677,2845.43614,3173.916293,3115.763924,3237.829385,3194.004962,3031.84299,3074.361716,3060.238956,3027.960627,2825.555378,1.65
