b25,b26,b28,b29,b32,b35,b57,b58,b59,b67,b71,b97,b98,b99,b105,b106,b135,b140,TS
833.3961268,873.1038732,1042.314501,1093.840749,1122.050736,1157.340109,1691.382202,1730.68806,1758.074104,1967.102113,2021.56226,2573.37564,2575.96959,2575.960147,2621.450224,2622.930218,3175.075864,3093.785691,2.125
1995.073784,2071.806178,2261.809059,2289.928457,2253.37548,2314.609475,2942.87372,2991.462068,3004.784091,3122.181178,3241.31258,3280.117157,3285.21751,3308.940301,3339.073944,3326.464149,3469.481434,3291.521767,7.575
818.2900974,868.1553571,1040.38474,1083.737013,1105.220942,1157.514935,1655.339448,1694.326136,1708.833766,1877.545617,1945.934416,2497.606169,2525.994481,2539.776299,2587.668669,2590.186688,3123.434091,2966.864448,3.0
710.7227913,752.1141165,913.0857875,953.4553457,973.2021447,996.5867478,1429.048496,1461.018406,1476.383643,1638.1863,1745.306978,2262.278649,2281.450864,2292.427977,2397.998239,2394.463028,3046.829385,2938.290173,4.825
661.7939547,699.6227251,846.4483304,890.6608641,900.9531571,936.8363665,1382.308277,1396.290078,1422.141795,1642.197658,1744.548663,2336.44833,2351.844912,2360.51179,2405.842064,2405.571451,3048.923247,2919.610065,4.35
763.8639025,813.3600253,964.5253996,999.3750593,1027.259535,1042.541383,1503.25906,1538.752492,1570.873081,1733.329324,1836.408134,2344.667827,2354.742523,2371.395157,2483.747745,2479.925305,3143.885108,2981.309068,2.15
1148.046526,1213.912486,1399.981801,1435.379332,1475.664979,1504.284697,2050.354961,2082.885108,2118.273303,2319.675423,2393.359551,2819.417629,2828.546289,2840.067574,2887.188479,2873.99636,3303.338661,3243.905048,8.125
628.1598912,668.2983355,813.1552497,849.5390525,847.762484,869.2893726,1266.572663,1281.707586,1300.237996,1468.726152,1575.78201,2095.569462,2107.196383,2120.570262,2201.074904,2211.713988,2892.879802,2750.692061,1.475
1376.152049,1449.065461,1671.875,1717.546575,1730.528809,1778.769526,2397.579225,2443.201825,2475.53089,2636.034251,2667.828585,2915.767286,2930.658291,2911.462708,2923.634763,2898.119398,3060.632362,2892.34219,8.375
666.4396607,704.9860755,857.1579706,901.7029449,939.8725992,972.4580666,1429.590429,1464.71719,1470.106434,1645.136684,1732.911972,2290.369398,2283.338508,2298.760243,2466.254481,2445.289853,3085.954225,2997.253041,1.325
