variant,run,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_selected,elapsed_sec
MSHHO_I1,26,0.45460715016472975,2.16864584953834,1.7749402727971209,0.3137275626224577,2.603425329727458,1.8878919231433844,1,4.179486036300659
MSHHO_I1,27,0.6863235840993984,1.6446551485079857,1.2498344967409818,-0.04089273980589314,3.206268122973991,2.2954525777214623,6,6.119023084640503
MSHHO_I1,28,0.5912977722317345,1.8773161569850227,1.494106706306621,0.16522991260870068,2.8713113441887614,1.9670827437769005,4,5.834237813949585
MSHHO_I1,29,0.6076304942461033,1.839422688916179,1.4217257510296322,0.28335962955608307,2.6604033275827006,1.706458532064025,9,5.8726561069488525
MSHHO_I2,0,0.5165878131241824,2.041703685869368,1.633885683869251,0.346118302686956,2.541244421020572,1.7903028131297494,6,6.024144887924194
MSHHO_I2,1,0.5183875263073592,2.0378995747133586,1.659536551409594,0.28221107569117676,2.6625343777768173,1.850713156569277,13,7.061146020889282
MSHHO_I2,2,0.45328593890098,2.171271027120216,1.7790582551877716,0.3153556300057493,2.6003353989401337,1.8909599612128989,1,4.605015754699707
MSHHO_I2,3,0.7454630750871746,1.4815261173527843,1.1258427396761688,0.28908726869835677,2.6497505652951117,1.7764026167934928,12,7.26108980178833
MSHHO_I2,4,0.4777084667003807,2.122220025370246,1.7584774198839221,0.3489816173263234,2.5356743266148167,1.8411313845300854,9,5.950384855270386
MSHHO_I2,5,0.46749024504927117,2.142879249417865,1.7865928782265945,0.3355020609731011,2.56179082982641,1.8751246812793032,8,5.621296167373657
MSHHO_I2,6,0.4968160921999991,2.0830384533605897,1.6294106012939393,0.0705051926366288,3.0298444417683563,1.9921693455374203,3,5.3815648555755615
MSHHO_I2,7,0.4445709493652562,2.188508364682515,1.7915717932639492,0.329256116881953,2.5738024382737477,1.8468993892918408,1,3.987403631210327
MSHHO_I2,8,0.5332935440561084,2.006114974339545,1.6085565858577509,0.3194220218725229,2.59260165364219,1.8001265511859574,6,5.689476013183594
MSHHO_I2,9,0.5829704164105283,1.8963449855282402,1.6100255895400117,0.31914697392192926,2.5931254861508837,1.8153869340411422,5,5.431964874267578
MSHHO_I2,10,0.6239323901281022,1.800805798314309,1.3544844717850648,0.023049413096663196,3.106226687260638,2.3603238685070047,5,5.574198007583618
MSHHO_I2,11,0.45015367304967724,2.177482029555222,1.7920506762844708,0.331274632429598,2.569926760183654,1.880616428013543,1,3.896442174911499
MSHHO_I2,12,0.5089161987592656,2.0578405453790607,1.6555873694753,0.30767114079898894,2.6148878382577,1.8156980981529205,5,5.133102178573608
MSHHO_I2,13,0.5323299551555247,2.008184876464134,1.6304661078921296,0.392799262671121,2.448854560038462,1.5783994667818286,3,4.534226894378662
MSHHO_I2,14,0.41702301764583616,2.242123958107249,1.8297613972562814,0.29147020238411314,2.6453059410323974,1.9064124871401116,1,3.9166100025177
